Start Time,End Time,Text,Lable
00:06:23:08,00:06:32:29,"배움의 길, 걷기편한 탄탄대로",neutral
00:06:50:24,00:06:53:11,꼭 하나를 골라야 하는 갈림길,neutral
00:06:53:11,00:07:00:18,그 중에 어디 길이 데려다주는 곳,neutral
00:07:01:05,00:07:04:22,결국 여기구나.,neutral
00:07:04:22,00:07:08:18,금강산도 식후경 이라는데 밥 먹으러 다시 캠핑장으로 가자,neutral
00:07:12:12,00:07:16:07,자고로 캠핑은 낭만이랬다,neutral
00:07:16:15,00:07:17:09,음악이 빠지면,neutral
00:07:17:09,00:07:26:05,서운하지,neutral
00:07:26:05,00:07:31:23,주변에 사람이 없으니까 적당히 볼륨을 높여볼까?,neutral
00:08:23:29,00:08:26:22,할 수 있는 건 다 해 보기로 했다,neutral
00:08:26:22,00:08:30:20,타닥타닥,neutral
00:08:31:02,00:08:34:10,장작이 불타 올라오고,neutral
00:08:45:29,00:08:49:00,2인분이나 준비했는데 다 먹을 수 있을까?,embrassment
00:09:18:05,00:09:22:06,원래 1인분이었나?,embrassment
00:09:22:24,00:09:31:14,잘못 산 것 같은데,embrassment
00:09:31:14,00:09:34:12,만약 전생이 있다면 나는 분명 한량이었다,neutral
00:09:35:05,00:09:38:02,평생 먹고 놀았으면 좋겠어,neutral
00:09:38:02,00:09:43:27,장작 타는 소리와 스피커에서 흘러나오는 음악소리,neutral
00:09:46:08,00:09:50:01,마음이 고요하다,neutral
00:10:24:08,00:10:26:14,얼마나 이러고 있었던 거지?,embrassment
00:10:26:14,00:10:34:16,잠깐 눈만 감았던 것 같은데  가져온 것들은 다 챙겨가자,neutral
00:10:35:04,00:11:04:05,흔적을 남기지 않는 사람이 되자,neutral
00:11:04:05,00:11:06:23,배는 부르고 자꾸 눈은 감기고,neutral
00:11:07:18,00:11:09:16,근데 나 여기 왜 온 거지?,embrassment
00:11:12:27,00:11:15:11,이것저것 즐기다 보니 완전히 잊고있었다.,neutral
00:11:15:11,00:11:20:04,내 길을 생각하러 왔었지,neutral
00:11:22:09,00:11:24:28,근데 뭘 어떻게 생각해?,embrassment
00:11:27:00,00:11:28:01,어쩌면 나는,neutral
00:11:28:01,00:11:31:25,길을 찾고 싶었던 게 아니라 그냥 길을 걷고 싶었던 것일지도 모른다,neutral
00:11:32:15,00:11:36:26,내일은 내일의 해가 뜨고,neutral
00:11:37:04,00:11:44:26,난 또 어딘가를 걷고 있겠지,neutral
00:11:51:28,00:11:55:08,내일의 해를 기다리며 그럼 이제 돌아갈까?,neutral
